0,1,2,3,4,5,6,7
6400,0,0,0,0,0,0,1
6400,0,0,0,0,0,0,0
6399,1,0,0,0,0,0,0
6399,0,1,0,0,0,0,0
6399,0,0,1,0,0,0,0
6396,4,0,0,0,0,0,0
6395,5,0,0,0,0,0,0
6395,4,1,0,0,0,0,0
6395,4,0,1,0,0,0,0
6396,0,4,0,0,0,0,0
6395,1,4,0,0,0,0,0
6395,0,5,0,0,0,0,0
6395,0,4,1,0,0,0,0
6396,0,0,4,0,0,0,0
6395,1,0,4,0,0,0,0
6395,0,1,4,0,0,0,0
6395,0,0,5,0,0,0,0
6394,3,0,0,2,1,0,0
6389,6,4,1,0,0,0,0
6389,5,5,1,0,0,0,0
6389,5,4,2,0,0,0,0
6389,3,7,1,0,0,0,0
6388,4,7,1,0,0,0,0
6388,3,8,1,0,0,0,0
6388,3,7,2,0,0,0,0
6389,2,5,4,0,0,0,0
6388,3,5,4,0,0,0,0
6388,2,6,4,0,0,0,0
6388,2,5,5,0,0,0,0
6391,1,2,3,2,0,1,0
6383,10,3,3,1,0,0,0
6383,8,5,4,0,0,0,0
6383,8,4,5,0,0,0,0
6384,4,8,4,0,0,0,0
6383,5,8,4,0,0,0,0
6383,4,9,4,0,0,0,0
6383,4,8,5,0,0,0,0
6384,4,4,8,0,0,0,0
6383,5,4,8,0,0,0,0
6383,4,5,8,0,0,0,0
6383,4,4,9,0,0,0,0
6384,4,4,5,2,1,0,0
6380,8,6,4,1,1,0,0
6379,9,6,5,0,0,1,0
6378,9,5,8,0,0,0,0
6378,8,6,8,0,0,0,0
6377,9,6,8,0,0,0,0
6377,8,7,8,0,0,0,0
6377,8,6,9,0,0,0,0
6378,7,5,9,1,0,0,0
