Mom and Pops,Consumer Utils,Big Boxes
5,0.0,0
5,25.9391410890705,0
5,24.412117250306096,0
5,24.298480637318693,0
5,23.472852556625465,0
5,22.898202118528054,0
5,25.374853484330856,0
5,25.82124199157087,0
5,20.80995631652037,0
5,21.301682614705854,0
5,24.155868519297336,0
5,24.31009532742182,0
5,22.920936049258625,0
5,22.008647090688978,0
5,23.108365556462395,0
5,22.663408836565768,0
5,23.140025816863854,0
5,24.25096054659385,0
5,23.96878192647115,0
5,25.043238243334557,0
5,21.044865022222254,1
5,24.173206797972,1
5,25.015779814894348,1
5,23.95029385279115,1
5,23.780321779455424,1
5,23.26793691827212,1
5,24.750359757072992,1
5,24.34477922660284,1
5,23.40286701479776,1
5,24.775148662615003,1
5,25.345275842019067,1
5,24.27056395997535,1
4,23.533823267844497,1
4,23.97363387148966,1
4,19.952877294812314,1
4,22.02661072881432,1
4,24.505372337986774,1
3,21.785521221017795,1
3,19.737817872135068,1
3,20.38852974581924,1
3,21.20127629411903,1
3,19.05324440251892,1
3,19.74799417886289,1
3,19.409653260564376,1
3,18.43910082259459,1
1,14.195474574703423,1
1,15.246745864460049,1
1,18.92479745586082,1
1,16.066697959284056,1
0,12.352138415393837,1
0,15.597593929162239,1
0,15.168323303306533,1
0,15.155140945598527,1
0,13.327421993961147,1
0,12.545259162663625,1
0,13.758988947844086,1
0,11.950821556952665,1
0,13.065051304977729,1
0,11.440825295658009,1
0,13.89722956504896,1
0,12.472974727166294,1
0,14.579946009014106,1
0,11.940430378231653,1
0,12.111768767525058,1
0,12.708778969559395,1
0,13.63830579845146,1
0,12.638390640161168,1
0,13.79877344753872,1
0,15.875122664614745,1
0,15.469633443239672,1
0,14.07596235379117,1
0,12.01966630700842,1
0,12.022454161112721,1
0,13.71926244392629,1
0,11.802347096070136,1
0,13.659787485393705,1
0,15.757347524474511,1
0,12.814375708546633,1
0,10.284063542174708,1
0,13.652769430984122,1
0,13.303447496882244,1
0,13.54193012272757,1
0,11.541161644596903,1
0,12.310459288039102,1
0,13.900992411165909,1
0,12.741096583008332,1
0,14.146866510726104,1
0,13.70726611385518,1
0,13.259520082462002,1
0,14.04174621152207,1
0,14.844152944069569,1
0,13.542807214962364,1
0,14.289556036945662,1
0,12.420672422874675,1
0,16.900851256704392,1
0,13.181903673801468,1
0,13.577956957495454,1
0,9.691082565478219,1
0,13.527727674297493,1
0,14.636730459050257,1
