Mom and Pops,Consumer Utils,Big Boxes
5,0.0,0
5,17.47185237798889,0
5,20.6222123613169,0
5,17.209674183804015,0
5,17.35333612674764,0
5,21.27362265642698,0
5,18.56833331870848,0
5,17.572929762202325,0
5,19.77859342445351,0
5,17.128984172873363,0
5,18.93821153798103,0
5,20.542756842408252,0
5,17.62649879470792,0
5,17.104486941032853,0
5,18.168523617424547,0
5,16.2446397507031,0
5,16.564600410027257,0
5,18.47797565756867,0
5,18.458980036979455,0
5,18.80818418166975,0
5,16.224352708884474,1
5,19.675406127593536,1
5,20.298982373321426,1
5,20.586183618275108,1
5,20.418519914819512,1
5,20.983179986488214,1
5,22.556311915861425,1
5,21.395115820721017,1
3,19.200947405780017,1
2,15.302391709143158,1
1,16.916243041973537,1
1,13.783759018932317,1
1,14.749778759242611,1
0,12.036743130031324,1
0,12.102593115410956,1
