Mom and Pops,Consumer Utils,Big Boxes
5,0.0,0
5,3.481945028169777,0
5,3.7702602273253265,0
5,3.717440934495685,0
5,3.9099965229222606,0
5,3.7621383161305895,0
5,4.062524232524256,0
5,4.0724446666549285,0
5,4.198840390494927,0
5,3.38027035513951,0
5,3.502256733035227,0
5,3.824335203983846,0
5,4.071702047046149,0
5,3.4421927866431803,0
5,2.8068762630660986,0
5,3.4362864315760504,0
5,3.6080950094291393,0
5,3.5099792702616486,0
5,3.8947377096723725,0
5,3.849591542399844,0
5,3.580976697653725,1
5,4.218715890635682,1
5,4.0205160546229,1
5,4.141743394274581,1
5,3.912966668597431,1
5,4.080696830822932,1
5,4.345571171276553,1
5,4.0563232257978665,1
5,3.852160873106634,1
4,4.279064323687073,1
3,3.8650708025789213,1
3,3.9639654333161105,1
1,2.999768726810088,1
1,2.4779097586799446,1
1,2.5182227198916474,1
1,3.109506568001465,1
0,2.860812041062624,1
0,2.4205324598132845,1
0,2.9202805986566864,1
0,3.5174397397167523,1
0,2.5790376232023053,1
0,2.685380852848404,1
0,2.929290952268103,1
0,2.7278730370798963,1
0,2.7568535671337133,1
0,2.6436600158052284,1
0,2.0463162555064853,1
0,2.9006490747764366,1
0,2.479755509766856,1
0,2.515158217245767,1
0,2.1667349927577724,1
0,2.672153027097381,1
0,2.80483626227609,1
0,2.7238944145501476,1
0,2.78731961064283,1
0,2.2931127237940307,1
0,2.9336461903743234,1
0,2.254686559342551,1
0,3.0351435796376918,1
0,2.4824347698235267,1
0,2.675941528824118,1
0,2.4769900315894695,1
0,2.847968255717949,1
0,2.5507129458697504,1
0,3.212882000778824,1
0,2.711395112144209,1
0,1.869290490512078,1
0,2.9446331653818123,1
0,2.6435863224922604,1
0,2.742555501138045,1
0,2.668230514216897,1
0,2.5769632787990475,1
0,2.5498114661508433,1
0,2.924914083535892,1
0,2.7389597770864844,1
