Mom and Pops,Consumer Utils,Big Boxes
5,0.0,0
5,5.93629226207556,0
5,5.198529687955985,0
5,6.133212669416332,0
5,5.940488196141262,0
5,5.270766215355939,0
5,5.638093806688863,0
5,5.808124800134598,0
5,6.483961250572735,0
5,5.939603240455206,0
5,5.555990074283245,0
5,6.028807705474676,0
5,5.423814698610807,0
5,5.789980707815496,0
5,6.233387096297193,0
5,5.639000157358288,0
5,5.242540434062459,0
5,5.963855652678464,0
5,5.545938557569577,0
5,5.9239582264220685,0
5,5.820491319274441,1
5,5.796836476624225,1
5,5.53068919655096,1
5,5.481387411047792,1
5,5.922121548801844,1
5,6.490244744070739,1
5,6.146963053843252,1
5,5.655934466061219,1
5,5.942050432613724,1
5,5.678426689923179,1
5,5.74973000345149,1
5,5.593194778356787,1
5,5.742728457039646,1
5,5.580372927996638,1
5,5.926685296929781,1
5,5.514560734501841,1
5,5.999970951112344,1
5,5.292977563557699,1
5,5.498306195626363,1
5,5.843154026147665,1
5,5.477282748092156,1
5,5.653464079278261,1
5,5.885263842180111,1
5,6.202517661532062,1
5,6.186732147674592,1
5,5.870726245614088,1
5,6.163461208465925,1
5,5.804702326152926,1
5,5.45945166374563,1
5,5.5041417269222,1
5,5.550555516010485,1
5,5.979896885953659,1
5,5.805073417112012,1
5,5.8767657913833355,1
5,5.952422598912237,1
5,5.452454544453526,1
5,5.430340995685679,1
5,5.685219250178744,1
5,5.539317156809191,1
5,6.231429177303698,1
5,5.592875518505072,1
5,5.775252680910075,1
5,5.9479202235135205,1
4,5.08358966629387,1
4,5.526851702082588,1
4,5.239056188754313,1
3,4.147611725555127,1
3,4.165813208045113,1
3,3.9435555332632957,1
3,4.5992200130396625,1
3,4.378630224186577,1
3,4.980699417409152,1
3,4.627540427472893,1
3,4.692704564534232,1
3,4.533308363613839,1
